Company Name,Headquarters,Size,Type of ownership,Industry,Sector
Hopper,"Montreal, Canada",501 to 1000 employees,Company - Private,Travel Agencies,Travel & Tourism
Noom US,"New York, NY",1001 to 5000 employees,Company - Private,"Health, Beauty, & Fitness",Consumer Services
Sapphire Digital,"Lyndhurst, NJ",201 to 500 employees,Company - Private,Internet,Information Technology
United Entertainment Group,"New York, NY",51 to 200 employees,Company - Private,Advertising & Marketing,Business Services
IFG Companies,"Hartford, CT",201 to 500 employees,Company - Private,Insurance Carriers,Insurance
PDT Partners,"New York, NY",51 to 200 employees,Company - Private,Investment Banking & Asset Management,Finance
Paige,"New York, NY",1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Jane Street,"New York, NY",501 to 1000 employees,Company - Private,Investment Banking & Asset Management,Finance
Quartet Health,"New York, NY",201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
PulsePoint,"New York, NY",51 to 200 employees,Company - Private,Internet,Information Technology
Medidata Solutions,"New York, NY",1001 to 5000 employees,Company - Public,Enterprise Software & Network Solutions,Information Technology
Point72,"Stamford, CT",1001 to 5000 employees,Company - Private,Investment Banking & Asset Management,Finance
Two Sigma,"New York, NY",1001 to 5000 employees,Company - Private,Investment Banking & Asset Management,Finance
Affinity Solutions,"New York, NY",51 to 200 employees,Company - Private,Advertising & Marketing,Business Services
Etsy,"Brooklyn, NY",501 to 1000 employees,Company - Public,Other Retail Stores,Retail
PA Consulting,"London, United Kingdom",1001 to 5000 employees,Company - Private,Consulting,Business Services
7Park Data,"New York, NY",51 to 200 employees,Company - Private,Research & Development,Business Services
Walt Disney Co.,"Burbank, CA",10000+ employees,Company - Public,Motion Picture Production & Distribution,Media
Squarespace,"New York, NY",1001 to 5000 employees,Company - Private,Internet,Information Technology
Citadel Securities,"Chicago, IL",201 to 500 employees,Company - Private,Brokerage Services,Finance
Enterprise Integration,"Jacksonville, FL",51 to 200 employees,Company - Private,IT Services,Information Technology
WITHIN,"New York, NY",51 to 200 employees,Company - Private,Advertising & Marketing,Business Services
Spotify,"Stockholm, Sweden",1001 to 5000 employees,Company - Public,Internet,Information Technology
Datadog,"New York, NY",1001 to 5000 employees,Company - Public,Computer Hardware & Software,Information Technology
Aetna,"Hartford, CT",10000+ employees,Company - Public,Insurance Carriers,Insurance
Hungryroot,"New York, NY",1 to 50 employees,Company - Private,"Health, Beauty, & Fitness",Consumer Services
Caserta,"New York, NY",51 to 200 employees,Company - Private,IT Services,Information Technology
Lyft,"San Francisco, CA",5001 to 10000 employees,Company - Public,Computer Hardware & Software,Information Technology
IBG LLC,"Memphis, TN",201 to 500 employees,Company - Private,Brokerage Services,Finance
CLEAR,"New York, NY",1001 to 5000 employees,Company - Private,Security Services,Business Services
GNY Insurance Companies,"New York, NY",201 to 500 employees,Company - Private,Insurance Carriers,Insurance
Andiamo,"Warren, MI",201 to 500 employees,Company - Private,Casual Restaurants,"Restaurants, Bars & Food Services"
infarm,"Berlin, Germany",501 to 1000 employees,Company - Private,Food & Beverage Stores,Retail
Bowery Farming,"New York, NY",51 to 200 employees,Company - Private,Food Production,Agriculture & Forestry
Braze,"New York, NY",501 to 1000 employees,Company - Private,Advertising & Marketing,Business Services
Facebook,"Menlo Park, CA",10000+ employees,Company - Public,Internet,Information Technology
Crisis Text Line,"New York, NY",51 to 200 employees,Nonprofit Organization,Health Fundraising Organizations,Non-Profit
Casper,"New York, NY",501 to 1000 employees,Company - Public,Home Furniture & Housewares Stores,Retail
BlueLabs,"Washington, DC",1 to 50 employees,Company - Private,Research & Development,Business Services
Tower Research Capital,"New York, NY",501 to 1000 employees,Company - Private,Financial Analytics & Research,Finance
Codecademy,"New York, NY",51 to 200 employees,Company - Private,Education Training Services,Education
JPMorgan Chase,"New York, NY",10000+ employees,Company - Public,Investment Banking & Asset Management,Finance
viagogo,"New York, NY",501 to 1000 employees,Company - Private,Internet,Information Technology
CompIQ,"New York, NY",1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Gallup,"Washington, DC",1001 to 5000 employees,Company - Private,Consulting,Business Services
eBay,"San Jose, CA",10000+ employees,Company - Public,Internet,Information Technology
Amazon,"Seattle, WA",10000+ employees,Company - Public,Internet,Information Technology
Snappy,"New York, NY",1 to 50 employees,Company - Private,Internet,Information Technology
Aptus Health,"Reading, MA",201 to 500 employees,Company - Private,Advertising & Marketing,Business Services
"JPMorgan Chase Bank, N.A.","New York, NY",10000+ employees,Company - Public,Investment Banking & Asset Management,Finance
D. E. Shaw & Co.,"New York, NY",1001 to 5000 employees,Company - Private,Investment Banking & Asset Management,Finance
Known,"New York, NY",201 to 500 employees,Company - Private,Advertising & Marketing,Business Services
Liberty Lending,"New York, NY",51 to 200 employees,Company - Private,Lending,Finance
DoSomething.org,"New York, NY",51 to 200 employees,Nonprofit Organization,Social Assistance,Non-Profit
ApTask,"Iselin, NJ",201 to 500 employees,Company - Private,IT Services,Information Technology
Match Group,"Norwalk, CT",1001 to 5000 employees,Company - Private,Advertising & Marketing,Business Services
Conductor,"New York, NY",201 to 500 employees,Company - Private,Internet,Information Technology
Forbes Media,"Jersey City, NJ",201 to 500 employees,Company - Private,Publishing,Media
